facet,state,concept,description
festivals,Odisha,Bali Jatra,"Fair on Mahanadi banks commemorating ancient maritime heritage; trade, rides, and cultural programs."
festivals,Odisha,Kalinga Mahotsav,"Festival of martial dances promoting peace, held at Dhauli Shanti Stupa."
festivals,Odisha,Konark Dance Festival,Classical dance extravaganza in Konark’s Sun Temple backdrop.
festivals,Odisha,Puri Beach Festival,"Showcases Odishan culture with dance, music, and sand art on Puri beach."
festivals,Odisha,Anla Navami,Worship of Radha-Krishna with ‘Anla’ (gooseberry) offerings and temple visits.
festivals,Odisha,Panchuka,Last five auspicious days of Kartik month; strict fasting and religious activities.
festivals,Odisha,Manabasa Gurubar,Worship of Goddess Lakshmi on Thursdays in Margasira month with elaborate traditions.
festivals,Odisha,Pana Sankranti,Odia New Year marking Lord Hanuman’s birthday; special drink ‘Pana’ offered.
festivals,Odisha,Nabakalebara,Rare ritual of renewing Lord Jagannath’s wooden idols in Puri.
festivals,Odisha,Ram Navami,"Birth of Lord Rama celebrated with chanting, fasting, and processions."
festivals,Odisha,Gajalaxmi Puja,"Worship of Goddess Lakshmi for wealth and prosperity, especially in Dhenkanal."
festivals,Odisha,Pausha Purnima,Sacred full moon in Pausha month; temple visits and alms-giving observed.
festivals,Odisha,Makara Chaula,Special rice dish offering to deities during Makara Sankranti in Odia homes.
festivals,Odisha,Taratarini Mela,Famous fair at Taratarini Temple for worship of twin goddesses.
festivals,Odisha,Ashokashtami,Processions of Lord Lingaraj with devotees pulling grand chariot in Bhubaneswar.
festivals,Odisha,Panchami Dol,Fifth-day Holi observance in some regions; vibrant colors and music.
festivals,Odisha,Gita Jayanti,Commemorates day Bhagavad Gita was spoken; recitations and spiritual discourses.
festivals,Odisha,Patua Yatra,Folk festival venerating Goddess Patana Mangala with fervent village processions.
festivals,Odisha,Gahma Purnima,Celebration of cattle wealth and welfare; tying sacred threads to cows and bulls.
festivals,Odisha,Sudasha Brata,"Vrata (fast) observed for Goddess Lakshmi’s blessings and prosperity, especially by married women."
festivals,Odisha,Raghurajpur International Art and Crafts Festival,Showcasing Odishan art forms like Pattachitra in crafts village Raghurajpur.
festivals,Odisha,Mukteswar Dance Festival,"Three-day classical dance festival at Mukteswar Temple, Bhubaneswar."
festivals,Odisha,Rajarani Music Festival,Classical music celebration at Bhubaneswar’s Rajarani Temple.
festivals,Odisha,Dev Deepawali,Festival of lights observed in select shrines; diyas lit at temples and ghats.
festivals,Odisha,Nabanna,Harvest festival welcoming newly harvested rice with special offerings and feasting.
festivals,Odisha,Jhamu Yatra,Devotees walk over burning charcoal to worship Goddess Maa Hingula.
festivals,Odisha,Sandalwood (Chandan) Festival,Cooling the deity idols with sandalwood paste during summers.
festivals,Odisha,Thakurani Yatra,"Local deity festival with fairs, cultural programs, and idol processions."
festivals,Odisha,Hingula Yatra,"Celebration of Goddess Hingula, associated with fire rituals and folk customs."
festivals,Odisha,Kanji Amla Osha,Fasting and offering sour rice soup (Kanji) to Goddess Shakti for protection.
festivals,Odisha,Pousha Mela,"Village fair during Pausha month, featuring folk dances, music, and handicrafts."
festivals,Odisha,Agira Purnima,Offering lighted earthen lamps to ancestors; observed on Magha month full moon.
festivals,Odisha,Kedu Festival (Bonda Tribe),"Tribal celebration featuring traditional dances, rituals, and community feasting."
festivals,Odisha,Bihan Mela,Tribal festival welcoming sowing season with cultural performances and communal gatherings.
festivals,Odisha,Chaitra Parva (Chhau),Colorful Chhau dance festival in Mayurbhanj and other regions of Odisha.
festivals,Odisha,Sume Gelirak (Koraput),"Tribal festival celebrating nature’s spirit with offerings, dances, and communal bonding."
festivals,Odisha,Baripada Chhau Festival,"Local version of Chhau dance celebrated during April, showcasing folk heritage."
festivals,Uttar Pradesh,Holi,"Festival of colors, marking spring’s arrival with playful color-throwing rituals."
festivals,Uttar Pradesh,Lathmar Holi,Special Holi celebration in Barsana and Nandgaon involving playful stick rituals.
festivals,Uttar Pradesh,Diwali,"Festival of lights celebrating Lord Rama’s return, marked by lamps and fireworks."
festivals,Uttar Pradesh,Dussehra,"Celebrates Lord Rama’s victory over Ravana, often with Ramlila performances."
festivals,Uttar Pradesh,Navratri,Nine-day worship of Goddess Durga with fasting and devotional songs.
festivals,Uttar Pradesh,Durga Puja,Celebration honoring Goddess Durga’s victory over Mahishasura.
festivals,Uttar Pradesh,Makar Sankranti,Marks sun's northward journey; people take holy dips in rivers.
festivals,Uttar Pradesh,Kumbh Mela,Mass Hindu pilgrimage at confluence of sacred rivers.
festivals,Uttar Pradesh,Ardh Kumbh Mela,Held midway between full Kumbh at Allahabad (Prayagraj).
festivals,Uttar Pradesh,Magh Mela,Annual fair at Sangam during Hindu month of Magha.
festivals,Uttar Pradesh,Ram Navami,Commemorates Lord Rama’s birth with prayers and fasts.
festivals,Uttar Pradesh,Janmashtami,Celebrates Lord Krishna’s birth with midnight prayers and festivities.
festivals,Uttar Pradesh,Maha Shivratri,Worship of Lord Shiva with nightlong vigils and rituals.
festivals,Uttar Pradesh,Ganga Dussehra,"Honors Goddess Ganga’s descent, celebrated with river rituals."
festivals,Uttar Pradesh,Raksha Bandhan,Celebrates sibling bond; sisters tie sacred thread on brothers.
festivals,Uttar Pradesh,Karwa Chauth,Married women fast for husbands’ longevity and well-being.
festivals,Uttar Pradesh,Bhai Dooj,Sisters perform tilak ceremony for brothers’ protection and prosperity.
festivals,Uttar Pradesh,Basant Panchami,Marks onset of spring; devotees worship Goddess Saraswati.
festivals,Uttar Pradesh,Eid-ul-Fitr,"Marks end of Ramadan with prayers, feasts, and charity."
festivals,Uttar Pradesh,Eid-ul-Adha (Bakrid),Commemorates Prophet Ibrahim’s willingness to sacrifice; animal sacrifice offered.
festivals,Uttar Pradesh,Muharram,Islamic New Year’s start; Shia communities mourn Imam Hussain’s martyrdom.
festivals,Uttar Pradesh,Barawafat,Celebration of Prophet Muhammad’s birth with gatherings and special prayers.
festivals,Uttar Pradesh,Urs at Deva Sharif,Sufi festival at Waris Ali Shah’s shrine in Barabanki.
festivals,Uttar Pradesh,Bada Mangal,Unique Tuesday festival in Lucknow honoring Lord Hanuman.
festivals,Uttar Pradesh,Dev Deepawali,Varanasi’s festival of lights on Kartik Poornima along Ganges ghats.
festivals,Uttar Pradesh,Sankat Mochan Sangeet Samaroh,"Classical music festival at Sankat Mochan Temple, Varanasi."
festivals,Uttar Pradesh,Kajari Teej,"Women’s festival in monsoon, devoted to Goddess Parvati’s blessings."
festivals,Uttar Pradesh,Hariyali Teej,"Celebrates greenery and marital bliss, observed by womenfolk."
festivals,Uttar Pradesh,Achala Saptami,Sun god Surya’s worship for spiritual growth and health.
festivals,Uttar Pradesh,Kanwar Yatra,Shiva devotees fetch Ganga water for ritual worship.
festivals,Uttar Pradesh,Chhath Puja,"Surya worship ritual, popular in Eastern UP communities."
festivals,Uttar Pradesh,Taj Mahotsav,"Ten-day cultural carnival in Agra celebrating art, crafts, and heritage."
festivals,Uttar Pradesh,Lucknow Mahotsav,"Cultural extravaganza showcasing Awadhi art, cuisine, music, and dance."
festivals,Uttar Pradesh,Bateshwar Fair,Cattle fair and cultural event near Bateshwar temples in Agra.
festivals,Uttar Pradesh,Dadri Mela,Grand fair in Ballia with cultural programs and trading.
festivals,Uttar Pradesh,Nauchandi Mela,"Historic fair in Meerut featuring shops, entertainment, and religious significance."
festivals,Uttar Pradesh,Ganga Mahotsav,"Celebrates Varanasi’s cultural heritage with music, dance, and crafts."
festivals,Uttar Pradesh,Gorakhnath Mela,Fair at Gorakhnath Temple in Gorakhpur with devotional activities.
festivals,Uttar Pradesh,Charkula Dance Festival,Braj region dance festival celebrated after Holi season.
festivals,Uttar Pradesh,Ram Barat,Agra’s grand ceremonial procession depicting Lord Rama’s wedding.
festivals,Uttar Pradesh,Barsana Holi,Famous Radha Rani Temple Holi with colors and tradition.
festivals,Uttar Pradesh,Ramlila (Ramnagar),"Traditional theatrical performance portraying Ramayana, popular in Varanasi."
festivals,Uttar Pradesh,Baldev Chatth,"Celebration in Baldeo, Mathura, honoring Lord Balarama’s birth."
festivals,Uttar Pradesh,Gola Gokaran Nath Mela,"Fair at Gola Gokaran Nath Temple, Lakhimpur Kheri district."
festivals,Uttar Pradesh,Surdas Jayanti,"Commemorates poet-saint Surdas, focusing on bhakti traditions."
festivals,Uttar Pradesh,Raskhan Jayanti,Honors Muslim poet Raskhan’s devotion to Lord Krishna.
festivals,Uttar Pradesh,Sattu Teej,Regional festival for women’s prosperity and marital happiness.
festivals,West Bengal,Bengali Language Day (21 February),Celebrates Bangla linguistic heritage and language martyrs’ sacrifice for mother tongue preservation.
festivals,West Bengal,Poila Boishakh,"Marks the Bengali New Year with cultural programs, fairs, and joyous gatherings."
festivals,West Bengal,Guru Purnima,Honors spiritual and academic teachers with gratitude and reverence.
festivals,West Bengal,Bhai Phonta,Sisters bless brothers for well-being by applying a ceremonial mark on the forehead.
festivals,West Bengal,Kali Puja,Worships Goddess Kali at midnight with rituals and firecrackers.
festivals,West Bengal,Lakshmi Puja,"Devotion to Goddess Lakshmi for prosperity, usually after Durga Puja."
festivals,West Bengal,Dolyatra,"Holi festival in Bengal, celebrating love and color with powdered dyes."
festivals,West Bengal,Ganesh Chaturthi,"Worship of Lord Ganesha, remover of obstacles and bringer of good fortune."
festivals,West Bengal,Gaura Purnima,"Birth anniversary of Chaitanya Mahaprabhu, observed with kirtans, fasting, and processions."
festivals,West Bengal,Vishwakarma Puja,"Pays homage to the divine architect, celebrated in workplaces and factories."
festivals,West Bengal,Durga Puja,Grand festival honoring Goddess Durga’s victory over evil with elaborate pandals and rituals.
festivals,West Bengal,Indian Independence Day,Commemorates India's freedom from British rule on 15 August.
festivals,West Bengal,Jagadhhatri Puja,"Worship of Goddess Jagadhatri, especially popular in Chandannagar and Hooghly."
festivals,West Bengal,Janmashtami,"Celebrates Lord Krishna’s birth with fasting, devotional songs, and midnight vigils."
festivals,West Bengal,Nandotsav,"Follows Janmashtami, rejoicing Lord Krishna’s birth through sweets, music, and dance."
festivals,West Bengal,Mahalaya,"Marks the invocation of Goddess Durga, heralding the start of Durga Puja preparations."
festivals,West Bengal,May Day,"International Workers’ Day, recognizing labor rights and achievements."
festivals,West Bengal,Paush Parban,"Winter festival in the Bengali month of Paush, known for homemade sweets."
festivals,West Bengal,Poila Falgun,Welcomes spring with vibrant cultural programs and festivities in Bengal.
festivals,West Bengal,Rabindra Jayanti,Commemoration of poet Rabindranath Tagore’s birth with cultural events.
festivals,West Bengal,Death Anniversary of Rabindranath Tagore,Remembrance day with recitations and tributes to Tagore’s works.
festivals,West Bengal,Rathayatra,Chariot festival of Lord Jagannath with grand processions and celebrations.
festivals,West Bengal,Rakhi Bandhan,"Sisters tie a sacred thread on brothers’ wrists, symbolizing protection."
festivals,West Bengal,Republic Day (26 January),"Honors India's Constitution coming into effect, celebrated with parades and flag hoisting."
festivals,West Bengal,Saraswati Puja,"Reverence to Goddess Saraswati, patron of learning and arts."
festivals,West Bengal,Kojagari Lakshmi Puja,"Full moon festival after Durga Puja, seeking blessings from Goddess Lakshmi."
festivals,West Bengal,Shivaratri,Nightlong worship of Lord Shiva with fasting and prayer.
festivals,West Bengal,Birthday of Netaji,"Marks the birth of Netaji Subhas Chandra Bose, a key freedom fighter."
festivals,West Bengal,Birthday of Swami Vivekananda,"Honors Swami Vivekananda’s birth, focusing on youth and spirituality."
festivals,West Bengal,Ramnavami,"Celebrates Lord Rama’s birth with prayers, processions, and Ramayana recitals."
festivals,West Bengal,Raasjatra,"Dedicated to Lord Krishna’s Raas Lila, featuring songs, dance, and plays."
festivals,West Bengal,Jhulanjatra,"Krishna-Radha festival with decorative swings, devotional music, and festivities."
festivals,West Bengal,Akshay Tritiya,"Auspicious day for new beginnings, including weddings and business ventures."
festivals,West Bengal,Bhadu,Folk festival in Paschim Bardhaman with songs praising Goddess Bhadu.
festivals,West Bengal,Bera Bhasan Festival,Local immersion ceremony marking the conclusion of Durga Puja.
festivals,West Bengal,Gandheswari Puja,Ritual worship of Goddess Gandheswari in select regions.
festivals,West Bengal,Guptipara Rathayatra,Local Rathayatra festival in Guptipara with grand chariot processions.
festivals,West Bengal,Nabanna,Post-harvest festival celebrating new rice with feasts and cultural events.
festivals,West Bengal,Shakta Rash,Shakta tradition festival worshiping Goddess Shakti with special rituals.
festivals,West Bengal,Buddha Purnima,"Marks Buddha's birth, enlightenment, and death with prayers and offerings."
festivals,West Bengal,Jamai Shasthi,"Honors sons-in-law with feasts, blessings, and family gatherings."
festivals,West Bengal,Death Anniversary of Lokenath Brahmachari,Remembers Saint Lokenath with prayer services and community feasts.
festivals,West Bengal,Ganga Dussehra,Celebrates Goddess Ganga's descent to Earth with river-bathing rituals.
festivals,West Bengal,Gangasagar fair and pilgrimage,Major pilgrimage at Sagar Island during Makar Sankranti for a holy dip.
festivals,West Bengal,Snana Yatra,Ceremonial bathing of Lord Jagannath's deities preceding Rathayatra.
festivals,West Bengal,Bandna Parab,Tribal festival dedicated to cattle worship and harvest celebrations.
festivals,West Bengal,Bipattarini Brata,Fasting and rituals for Goddess Bipattarini’s protection from adversity.
festivals,West Bengal,Jhulan Yatra,"Similar to Jhulanjatra, celebrating Lord Krishna and Radha with swings."
festivals,West Bengal,Bhadrotsav of Brahmo Samaj,Observes Brahmo Samaj’s founding with prayer sessions and discussions.
festivals,West Bengal,Viswakarma Puja,"Veneration of Vishwakarma, patron deity of artisans and engineers."
festivals,West Bengal,Annakut Utsab,"Offering various dishes to deities, often following Diwali."
festivals,West Bengal,Karam Parab,Tribal worship of Karam Devta for social harmony and crop fertility.
festivals,West Bengal,Kartik Puja,"Devotion to Lord Kartikeya, observed in certain Bengali regions."
festivals,West Bengal,Itu Puja,Worship of Goddess Itu for family prosperity during the Agrahayan month.
festivals,West Bengal,Jitiya,"Fasting by mothers for children’s longevity, especially in certain communities."
festivals,West Bengal,Basanti Puja,"Springtime worship of Goddess Durga, also called Vasanta Durga Puja."
festivals,West Bengal,Charak Puja,Folk festival marking the Bengali year’s end with austerities and processions.
festivals,West Bengal,Rathayatra of Mahesh,"Historic chariot procession in Serampore’s Mahesh, devoted to Lord Jagannath."
festivals,West Bengal,Gajan,"Shiva-focused festival involving penance, processions, and sometimes body piercing rituals."
festivals,West Bengal,Good Friday,Christian observance commemorating Jesus’s crucifixion with prayers and fasting.
festivals,West Bengal,Basanta Utsav,"Spring festival at Shantiniketan introduced by Tagore, celebrating colors and culture."
festivals,West Bengal,Tusu Parab,Tribal harvest festival with Tusu songs and floating clay idols in rivers.
festivals,West Bengal,Kalpataru Utsab,"Observed on 1 January, commemorating Sri Ramakrishna’s divine revelation."
festivals,West Bengal,Sri Ramakrishna Jayanti,Celebrates the birth of 19th-century mystic Sri Ramakrishna.
festivals,West Bengal,Maghotsav of Brahmo Samaj,Annual Brahmo Samaj festival in Magh month with prayers and spiritual gatherings.
festivals,Andaman and Nicobar Islands,Island Tourism Festival,"Ten-day cultural gala promoting local music, dance, handicrafts, and cuisine."
festivals,Andaman and Nicobar Islands,Subhash Mela,Honors Netaji Subhas Chandra Bose through cultural shows and parades at Havelock Island.
festivals,Andaman and Nicobar Islands,Vivekananda Mela,"Commemorates Swami Vivekananda's ideals, featuring community events and youth programs."
festivals,Andaman and Nicobar Islands,Block Mela,"Annual fair showcasing rural crafts, foods, and cultural performances in local blocks."
festivals,Andaman and Nicobar Islands,Beach Festival,"Celebrates coastal heritage with sports, music, food stalls, and beach cleanliness drives."
festivals,Andaman and Nicobar Islands,Food and Fruit Festival,"Promotes local fruits, seafood, and regional culinary traditions through stalls and demonstrations."
festivals,Andaman and Nicobar Islands,Monsoon Festival,"Seasonal fest highlighting monsoon produce, folk dances, and rain-themed celebrations."
festivals,Andaman and Nicobar Islands,Film Festival,"Showcases regional and national cinema, encouraging local filmmakers and movie enthusiasts."
festivals,Andaman and Nicobar Islands,Holi,"Colorful spring festival symbolizing unity, happiness, and the victory of good."
festivals,Andaman and Nicobar Islands,Diwali,Festival of Lights celebrating the triumph of light over darkness with lamps and fireworks.
festivals,Andaman and Nicobar Islands,Durga Puja,"Four-day worship of Goddess Durga with pandals, feasts, and cultural programs."
festivals,Andaman and Nicobar Islands,Pongal,"Harvest festival of Tamil communities, thanking the sun god for abundant crops."
festivals,Andaman and Nicobar Islands,Onam,"Malayali harvest festival featuring Pookalam flower designs, boat races, and cultural dances."
festivals,Andaman and Nicobar Islands,Christmas,Christian festival commemorating Jesus Christ’s birth with church services and festive gatherings.
festivals,Andaman and Nicobar Islands,Eid al-Fitr,"Marks the end of Ramadan fasting with prayers, feasts, and communal harmony."
festivals,Andaman and Nicobar Islands,Eid al-Adha,"Sacrificial feast honoring Prophet Ibrahim’s devotion, shared meals, and community prayers."
festivals,Andaman and Nicobar Islands,Good Friday,Christian observance recalling Jesus Christ’s crucifixion with prayer services and solemn reflection.
festivals,Andaman and Nicobar Islands,Janmashtami,"Hindu festival celebrating Lord Krishna’s birth with fasting, midnight prayers, and Dahi Handi."
festivals,Andaman and Nicobar Islands,Ganesh Chaturthi,"Welcomes Lord Ganesha with prayers, modaks, and concluding idol immersion ceremonies."
festivals,Andaman and Nicobar Islands,Navratri,"Nine nights honoring Goddess Durga through fasting, dancing (Garba/Dandiya), and prayers."
festivals,Andaman and Nicobar Islands,Maha Shivaratri,"Nightlong worship of Lord Shiva, offering bel leaves and fasting for blessings."
festivals,Andaman and Nicobar Islands,Buddha Purnima,"Celebrates Lord Buddha’s birth, enlightenment, and Nirvana with prayers and kindness acts."
festivals,Andaman and Nicobar Islands,Ram Navami,Marks Lord Rama’s birth with recitals of the Ramayana and temple gatherings.
festivals,Andaman and Nicobar Islands,Easter,"Christian festival celebrating Christ’s resurrection, marked by church services and feasting."
festivals,Andaman and Nicobar Islands,Tribal Community Gatherings,"Private indigenous events celebrating nature, ancestry, and communal ties (limited public details)."
festivals,Andaman and Nicobar Islands,Ossuary Feast (Nicobarese),"A tribal ritual honoring ancestral spirits through dance, drumming, and shared meals."
festivals,Andaman and Nicobar Islands,Pigs' Feast (Nicobarese),"Communal event involving feasting on pigs, symbolizing prosperity and gratitude to ancestors."
festivals,Andaman and Nicobar Islands,New Year’s Eve Celebrations,"Island-wide parties, beach gatherings, and cultural performances welcoming the new year."
festivals,Andaman and Nicobar Islands,Kali Puja,"Evening festival venerating Goddess Kali with lamps, mantras, and community feasts."
festivals,Andaman and Nicobar Islands,Vasant Panchami,"Springtime festival dedicated to Goddess Saraswati, invoking wisdom and auspicious beginnings."
festivals,Andaman and Nicobar Islands,Rajyotsava Celebrations,Honors local administrative foundation with cultural programs and official ceremonies.
festivals,Chandigarh,Festival of Gardens,Annual event showcasing over 500 rose varieties.
festivals,Chandigarh,Chandigarh Carnival,Three-day November event promoting local talent.
festivals,Chandigarh,Chrysanthemums Show,December flower show with numerous chrysanthemum varieties.
festivals,Chandigarh,Mango Festival,Monsoon event displaying mangoes from various regions.
festivals,Chandigarh,Plaza Carnival,Weekly Saturday cultural program in Sector 17 Plaza.
festivals,Chandigarh,Lohri,January festival marking winter's end with bonfires.
festivals,Chandigarh,Baisakhi,April harvest festival celebrated with music and dance.
festivals,Chandigarh,Teej,Monsoon festival celebrated with swings and songs.
festivals,Chandigarh,Ramlila,Dramatic reenactment of Lord Rama's life during Navratri.
festivals,Chandigarh,Guru Nanak Gurpurab,Celebration of Guru Nanak's birth with processions.
festivals,Dadra and Nagar Haveli and Dama,Barash,"Tribal festival akin to Diwali, celebrated in September."
festivals,Dadra and Nagar Haveli and Dama,Divaso,Celebrated by Varli and Dodhia tribes with traditional rituals.
festivals,Dadra and Nagar Haveli and Dama,Akha Teej,Women's festival celebrated by the Kokna tribe.
festivals,Dadra and Nagar Haveli and Dama,Kali Puja,Dedicated to Goddess Kali during the harvest season.
festivals,Dadra and Nagar Haveli and Dama,Tarpa Festival,Features traditional dances and music by tribal communities.
festivals,Dadra and Nagar Haveli and Dama,Monsoon Magic Festival,Celebration with cultural events during the monsoon.
festivals,Dadra and Nagar Haveli and Dama,Children's Film Festival,"Showcases films for children, promoting cultural awareness."
festivals,Dadra and Nagar Haveli and Dama,Masimagam Festival,Held in February/March with ceremonial deity baths.
festivals,Dadra and Nagar Haveli and Dama,Villianur Temple Car Festival,Mid-May procession with a decorated temple car.
festivals,Dadra and Nagar Haveli and Dama,Kite Festival,Makar Sankranti celebration with vibrant kite flying.
festivals,Dadra and Nagar Haveli and Dama,Nariyal Poornima,August festival featuring colorful water sports.
festivals,Dadra and Nagar Haveli and Dama,Monsoon Festival,Cultural parade showcasing local heritage and traditions.
festivals,Dadra and Nagar Haveli and Dama,Diwali,Festival of lights celebrated with illumination and joy.
festivals,Dadra and Nagar Haveli and Dama,Holi,Festival of colors celebrated with enthusiasm across communities.
festivals,Dadra and Nagar Haveli and Dama,Christmas,Christian festival celebrating the birth of Jesus Christ.
festivals,Dadra and Nagar Haveli and Dama,Eid,Muslim festival celebrated with prayers and feasts.
festivals,Delhi,Diwali,Festival of Lights; celebrates victory of light over darkness.
festivals,Delhi,Holi,Festival of Colors; marks the arrival of spring.
festivals,Delhi,Eid al-Fitr,Celebration marking the end of Ramadan fasting.
festivals,Delhi,Navratri,Nine-night festival honoring Goddess Durga.
festivals,Delhi,Durga Puja,Celebration of Goddess Durga's victory over Mahishasura.
festivals,Delhi,Dussehra,Commemorates Lord Rama's victory over Ravana.
festivals,Delhi,Guru Nanak Jayanti,"Birth anniversary of Guru Nanak, Sikhism's founder."
festivals,Delhi,Lohri,Punjabi festival marking the end of winter.
festivals,Delhi,Christmas,Celebration of the birth of Jesus Christ.
festivals,Delhi,Maha Shivaratri,Night dedicated to worship of Lord Shiva.
festivals,Delhi,Janmashtami,Celebrates the birth of Lord Krishna.
festivals,Delhi,Phool Walon Ki Sair,Flower-sellers' procession symbolizing communal harmony.
festivals,Delhi,Qutub Festival,Cultural event showcasing music and dance performances.
festivals,Delhi,Jashn-e-Rekhta,Annual Urdu language literary festival.
festivals,Delhi,Jahan-e-Khusrau,Annual Sufi music festival commemorating Amir Khusrau.
festivals,Jammu and Kashmir,Lohri,Marks the end of winter with bonfires and songs.
festivals,Jammu and Kashmir,Eid ul-Fitr,Celebrated by Muslims to mark the end of Ramadan.
festivals,Jammu and Kashmir,Eid ul-Azha,"Also known as Bakrid, commemorates Prophet Ibrahim's sacrifice."
festivals,Jammu and Kashmir,Hemis Festival,Honors Guru Padmasambhava with masked dances.
festivals,Jammu and Kashmir,Amarnath Yatra,Annual pilgrimage to the Amarnath cave shrine.
festivals,Jammu and Kashmir,Tulip Festival,Showcases blooming tulips in Srinagar's gardens.
festivals,Jammu and Kashmir,Navratri Festival,Nine-day celebration honoring Goddess Durga.
festivals,Jammu and Kashmir,Bahu Mela,Held at the Kali Temple in Bahu Fort twice a year.
festivals,Jammu and Kashmir,Purmandal Mela,Celebrated at Purmandal town during Maha Shivratri.
festivals,Jammu and Kashmir,Jhiri Mela,"Commemorates Baba Jitto, an honest farmer."
festivals,Ladakh,Hemis Tsechu,Celebrated at Hemis Monastery with sacred mask dances.
festivals,Ladakh,Losar,Ladakhi New Year marked by rituals and festivities.
festivals,Ladakh,Dosmochey,"Year-end festival in Leh, Likir, and Diskit monasteries."
festivals,Ladakh,Saka Dawa,"Honors Buddha's birth, enlightenment, and death."
festivals,Ladakh,Sindhu Darshan,Celebrates River Indus near Shey village in June.
festivals,Ladakh,Yuru Kabgyat,Held at Lamayuru Monastery with mask dances.
festivals,Ladakh,Stok Guru Tsechu,Features oracles at Stok Monastery in March.
festivals,Ladakh,Matho Nagrang,Oracle festival at Matho Monastery with mask dances.
festivals,Ladakh,Phyang Tsedup,Celebrated at Phyang Monastery with traditional rituals.
festivals,Ladakh,Takthok Tsechu,Unique festival at Takthok Monastery with sacred dances.
festivals,Ladakh,Galdan Namchot,Commemorates Je Tsongkhapa's birth and marks Ladakhi New Year.
festivals,Ladakh,Ladakh Festival,"Showcases cultural performances, traditional arts, and sports."
festivals,Lakshadweep,Eid-ul-Fitr,Marks end of Ramadan with prayers and feasting.
festivals,Lakshadweep,Eid-ul-Adha (Bakrid),Commemorates Prophet Ibrahim's sacrifice with animal offerings.
festivals,Lakshadweep,Milad-un-Nabi,Celebrates Prophet Muhammad's birth with prayers and sermons.
festivals,Lakshadweep,Muharram,Observes Imam Hussain's martyrdom with processions and rituals.
festivals,Lakshadweep,Onam,Harvest festival celebrated by Malayali community with feasts.
festivals,Lakshadweep,Minicoy Festival,Local event marking harvest's end with cultural activities.
festivals,Puducherry,Pongal,Harvest festival thanking the Sun God.
festivals,Puducherry,Masi Magam,Procession of deities to water bodies for a holy dip.
festivals,Puducherry,Villianur Temple Car Festival,Devotees pull the temple chariot through streets.
festivals,Puducherry,Bastille Day,French National Day celebrated with parades.
festivals,Puducherry,International Yoga Festival,Yoga sessions promoting wellness and spirituality.
festivals,Puducherry,Puthandu (Tamil New Year),Marks the Tamil New Year with feasting.
festivals,Puducherry,Deepavali,Festival of Lights celebrated with fireworks.
festivals,Puducherry,Christmas,Celebration of Jesus Christ's birth with masses.
festivals,Puducherry,Easter,Commemorates the resurrection of Jesus Christ.
festivals,Puducherry,Sri Aurobindo's Birth Anniversary,Tributes at Sri Aurobindo Ashram.
food,Andhra Pradesh,Pulihora,"Tamarind rice with spices, often prepared during festivals and special occasions."
food,Andhra Pradesh,Pootharekulu,"Delicate sweet made from rice starch, ghee, and sugar, known as 'paper sweet'."
food,Andhra Pradesh,Gutti Vankaya Kura,"Stuffed brinjal curry with roasted herbs and spices, a staple in traditional meals."
food,Andhra Pradesh,Gongura Pickle,"Tangy pickle made from sorrel leaves, a signature accompaniment in Andhra cuisine."
food,Andhra Pradesh,Hyderabadi Biryani,"Fragrant basmati rice layered with marinated meat, a culinary legacy of the Nizams."
food,Andhra Pradesh,Chepa Pulusu,"Spicy fish curry simmered in tamarind sauce, popular in coastal regions."
food,Andhra Pradesh,Ulavacharu,"Thick horse gram soup, often enjoyed with rice or as a hearty broth."
food,Andhra Pradesh,Bobbatlu,"Sweet flatbread stuffed with jaggery and lentils, traditionally made during festivals."
food,Andhra Pradesh,Royyala Vepudu,"Spicy prawn fry with aromatic spices, a favorite in coastal Andhra."
food,Andhra Pradesh,Ariselu,"Sweet rice flour patties with jaggery, deep-fried to golden perfection."
food,Andhra Pradesh,Pesarattu,"Green gram dosa, often served as a breakfast item with ginger chutney."
food,Andhra Pradesh,Avakaya,"Spicy mango pickle with mustard and chili powder, a household staple."
food,Andhra Pradesh,Poornam Boorelu,"Fried dumplings of chana dal and jaggery, coated in rice flour batter, festive delicacy."
food,Andhra Pradesh,Rasam,"Tangy tamarind soup with tomatoes and spices, aids digestion."
food,Andhra Pradesh,Payasam,"Sweet milk-based dessert with vermicelli or rice, served during celebrations."
food,Andhra Pradesh,Pulasa Pulusu,"Seasonal fish curry from the Godavari River, considered a delicacy."
food,Andhra Pradesh,Bandar Laddu,"Sweet made from gram flour and ghee, specialty of Machilipatnam."
food,Andhra Pradesh,Ragi Sangati,"Finger millet balls served with spicy meat or vegetable curries, staple in Rayalaseema."
food,Andhra Pradesh,Korameenu Iguru,"Spicy fish curry made with snakehead murrel, popular in Telangana region."
food,Andhra Pradesh,Jonna Roti,"Sorghum flatbread, commonly consumed in rural areas with various curries."
food,Andhra Pradesh,Gongura Mamsam,"Spicy mutton curry cooked with tangy sorrel leaves, a regional favorite."
food,Andhra Pradesh,Punugulu,"Crispy deep-fried snack made from idli or dosa batter, popular street food."
food,Andhra Pradesh,Andhra Chicken Biryani,Spicy chicken biryani with a blend of aromatic herbs and spices.
food,Andhra Pradesh,Bagara Baingan,"Seasoned eggplant curry, often served with biryani or pulao."
food,Andhra Pradesh,Tomato Pappu,"Lentil stew cooked with tomatoes, a staple in Andhra meals."
